Year,Season,Month,Level,Block,Treatment_Year,Plot,Survey_Day,BLUE_PAINT_S_occidentalis,BLUE_RED_PAINT_S_occidentalis,RED_PAINT_S_occidentalis,S_occidentalis_NO_PAINT
2018,summer,June,Arid,1,1,Open,1,13,,,
2018,summer,June,Arid,1,1,Open,2,,10,5,
2018,summer,June,Arid,1,1,Open,3,7,6,2,1
2018,summer,June,Arid,1,1,Total,1,17,,,
2018,summer,June,Arid,1,1,Total,2,,14,2,
2018,summer,June,Arid,1,1,Total,3,10,9,0,1
2018,summer,June,Arid,1,1,Partial,1,25,,,
2018,summer,June,Arid,1,1,Partial,2,,20,9,
2018,summer,June,Arid,1,1,Partial,3,16,12,6,3
2018,summer,June,Arid,2,1,Open,1,21,,,
2018,summer,June,Arid,2,1,Open,2,,16,4,
2018,summer,June,Arid,2,1,Open,3,10,9,1,0
2018,summer,June,Arid,2,1,Total,1,11,,,
2018,summer,June,Arid,2,1,Total,2,,7,5,
2018,summer,June,Arid,2,1,Total,3,5,4,3,3
2018,summer,June,Arid,2,1,Partial,1,18,,,
2018,summer,June,Arid,2,1,Partial,2,,14,3,
2018,summer,June,Arid,2,1,Partial,3,9,8,3,2
2018,summer,June,Arid,3,1,Open,1,22,,,
2018,summer,June,Arid,3,1,Open,2,,19,10,
2018,summer,June,Arid,3,1,Open,3,13,12,7,3
2018,summer,June,Arid,3,1,Total,1,24,,,
2018,summer,June,Arid,3,1,Total,2,,20,6,
2018,summer,June,Arid,3,1,Total,3,13,6,5,3
2018,summer,June,Arid,3,1,Partial,1,20,,,
2018,summer,June,Arid,3,1,Partial,2,,15,8,
2018,summer,June,Arid,3,1,Partial,3,13,11,4,1
2018,summer,June,Interm,1,1,Open,1,35,,,
2018,summer,June,Interm,1,1,Open,2,,24,6,
2018,summer,June,Interm,1,1,Open,3,14,7,4,0
2018,summer,June,Interm,1,1,Total,1,21,,,
2018,summer,June,Interm,1,1,Total,2,,9,3,
2018,summer,June,Interm,1,1,Total,3,17,4,3,3
2018,summer,June,Interm,1,1,Partial,1,15,,,
2018,summer,June,Interm,1,1,Partial,2,,17,2,
2018,summer,June,Interm,1,1,Partial,3,6,9,1,1
2018,summer,June,Interm,2,1,Open,1,18,,,
2018,summer,June,Interm,2,1,Open,2,,12,10,
2018,summer,June,Interm,2,1,Open,3,8,2,5,0
2018,summer,June,Interm,2,1,Total,1,15,,,
2018,summer,June,Interm,2,1,Total,2,,9,7,
2018,summer,June,Interm,2,1,Total,3,10,3,5,2
2018,summer,June,Interm,2,1,Partial,1,9,,,
2018,summer,June,Interm,2,1,Partial,2,,7,2,
2018,summer,June,Interm,2,1,Partial,3,6,2,1,1
2018,summer,June,Interm,3,1,Open,1,38,,,
2018,summer,June,Interm,3,1,Open,2,,27,9,
2018,summer,June,Interm,3,1,Open,3,14,19,5,7
2018,summer,June,Interm,3,1,Total,1,42,,,
2018,summer,June,Interm,3,1,Total,2,,33,12,
2018,summer,June,Interm,3,1,Total,3,16,20,8,5
2018,summer,June,Interm,3,1,Partial,1,53,,,
2018,summer,June,Interm,3,1,Partial,2,,41,16,
2018,summer,June,Interm,3,1,Partial,3,19,24,11,7
2018,summer,July,Mesic,1,1,Open,1,2,,,
2018,summer,July,Mesic,1,1,Open,2,,2,1,
2018,summer,July,Mesic,1,1,Open,3,1,1,0,0
2018,summer,July,Mesic,1,1,Total,1,1,,,
2018,summer,July,Mesic,1,1,Total,2,,0,4,
2018,summer,July,Mesic,1,1,Total,3,0,0,3,0
2018,summer,July,Mesic,1,1,Partial,1,1,,,
2018,summer,July,Mesic,1,1,Partial,2,,1,0,
2018,summer,July,Mesic,1,1,Partial,3,0,0,0,NA
2018,summer,July,Mesic,2,1,Open,1,2,,,
2018,summer,July,Mesic,2,1,Open,2,,2,1,
2018,summer,July,Mesic,2,1,Open,3,1,1,1,NA
2018,summer,July,Mesic,2,1,Total,1,0,,,
2018,summer,July,Mesic,2,1,Total,2,,0,0,
2018,summer,July,Mesic,2,1,Total,3,0,0,0,0
2018,summer,July,Mesic,2,1,Partial,1,3,,,
2018,summer,July,Mesic,2,1,Partial,2,,2,1,
2018,summer,July,Mesic,2,1,Partial,3,0,0,1,0
2018,summer,July,Mesic,3,1,Open,1,1,,,
2018,summer,July,Mesic,3,1,Open,2,,0,1,
2018,summer,July,Mesic,3,1,Open,3,1,0,1,1
2018,summer,July,Mesic,3,1,Total,1,2,,,
2018,summer,July,Mesic,3,1,Total,2,,1,0,
2018,summer,July,Mesic,3,1,Total,3,1,0,0,0
2018,summer,July,Mesic,3,1,Partial,1,0,,,
2018,summer,July,Mesic,3,1,Partial,2,,0,0,
2018,summer,July,Mesic,3,1,Partial,3,0,0,0,0