Observation.method,Date,Site,Block ,Plot,Weather,Time,transect.number,transect.meter,dist.transect(m),dist.ground (m),substrate.type,species,letter,Unique_ID,Stage,Sex,length(cm),weight(g),sun.availability,behavior,ticks.collected,ticks.not.collected,total.ticks,note,,
captured,20-Apr-18,Arid,2,Partial ,sunny,13:30,5,50,10,0.2,fallen.log,Uta.stansburia,,1,adult,,6,,full.sun,basking,7,0,7,,,
captured,20-Apr-18,Arid,2,Partial ,sunny,14:12,5,24,5,0.75,rock,Scoloporus.occidentalis,,2,adult,male,8,,full.sun,running,2,2,4,,,
captured,22-Apr-18,Arid,2,Total,sunny,15:05,1,,,2.5,oak,Scoloporus.occidentalis,,3,adult,male,9.5,19.4,partial.shade,running,0,0,0,used electric scale,,
captured,22-Apr-18,Arid,2,Total,sunny,15:05,1,50,15,0.5,fallen.log,Scoloporus.occidentalis,,4,adult,female,8,10.4,full.sun,basking,0,0,0,used electric scale,,
captured,23-Apr-18,Arid,3,Total,sunny,8:51,,,,0.02,fallen.log,Scoloporus.occidentalis,,5,adult,male,8,11.2,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,9:20,,,,1.5,oak,Scoloporus.occidentalis,,6,adult,male,7,,partial.shade,running,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,9:48,,,,1.75,oak,Scoloporus.occidentalis,,7,adult,male,8.5,15.8,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,10:25,,,,0.75,dead.oak,Scoloporus.occidentalis,,8,adult,female,7.1,9.8,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,13:15,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,,9,adult,male,9.5,18.7,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,23-Apr-18,Arid,3,Total,sunny,13:30,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,,10,adult,male,9.8,17.3,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,24-Apr-18,Arid,2,Total,sunny,9:50,3,50,2,1,oak,Scoloporus.occidentalis,,11,adult,female,7.6,14.5,partial.sun,resting,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,10:30,6,25,5,1.3,oak,Scoloporus.occidentalis,,12,adult,female,8.2,12.5,partial.sun,running,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,11:00,6,50,1,,oak,Scoloporus.occidentalis,,13,adult,male,9,18,full.sun,basking,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,11:30,3,16,0,1.5,oak,Scoloporus.occidentalis,,14,adult,male,8,12,full.sun,basking,0,0,0,,,
captured,24-Apr-18,Arid,3,Partial ,overcast to sunny,14:15,3,0,0,2.5,oak,Scoloporus.occidentalis,,15,adult,female,9.2,18,shade,resting,0,0,0,,,
captured,24-Apr-18,Arid,3,Partial ,overcast to sunny,15:15,1,7,2,1,oak,Scoloporus.occidentalis,,16,adult,male,9,20,partial.shade,push.ups,0,0,0,,,
captured,25-Apr-18,Arid,1,Partial ,sunny,9:56,1,25,9,0.3,fallen.log,Scoloporus.occidentalis,,17,adult,male,10.1,17,full.sun,basking,0,0,0,,,
captured,25-Apr-18,Arid,1,Total,sunny,12:15,1,20,5,0.5,oak,Scoloporus.occidentalis,,18,adult,male,10,16,full.sun,push.ups,1,1,2,,,
captured,25-Apr-18,Arid,1,Total,sunny,12:56,2,18,7,1,standing.log,Scoloporus.occidentalis,,19,adult,male,8.5,11,full.sun,basking,0,0,0,downhill of oak 3969,,
captured,25-Apr-18,Arid,1,Total,sunny,13:45,1,19,6,1.7,oak,Scoloporus.occidentalis,,20,juvenille,,6.1,3,partial.shade,basking,0,0,0,,,
captured,25-Apr-18,Arid,1,Total,sunny,15:10,1,40,7,1,rock,Scoloporus.occidentalis,,21,adult,female,9,16,full.sun,basking,0,0,0,uphill of oak 3977,,
captured,26-Apr-18,Arid,1,Total,sunny,8:20,,,,1.7,oak,Scoloporus.occidentalis,,22,adult,male,8.3,15.5,full.sun,basking,0,0,0,not on transect,,
captured,26-Apr-18,Arid,1,Total,sunny,9:00,4,50,6,0.4,rock,Scoloporus.occidentalis,,23,adult,male,10.1,20,full.sun,basking,0,2,2,ran to oak 3521,,
captured,26-Apr-18,Arid,1,Total,sunny,10:20,4,-5,0,0.3,rock,Scoloporus.occidentalis,,24,adult,female,8.5,,full.sun,basking,0,0,0,not on transect,,
captured,26-Apr-18,Arid,2,Partial ,sunny,14:41,6,30,5,1.25,oak,Scoloporus.occidentalis,,25,,male,9.5,20,full.sun,interacting,1,0,1,,,
captured,26-Apr-18,Arid,2,Partial ,sunny,14:50,6,30,5,0.75,oak,Scoloporus.occidentalis,,26,,female,10,19.5,full.sun,interacting,0,0,0,,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:02,2,50,5,1.1,fallen.log,Scoloporus.occidentalis,A,27,adult,male,9,17,full.sun,basking,4,0,1,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:21,2,50,5,0.3,fallen.log,Scoloporus.occidentalis,B,28,adult,male,10.5,20,full.sun,basking,3,0,1,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:36,2,50,5,0.2,fallen.log,Scoloporus.occidentalis,C,29,adult,female,9.75,13,full.sun,basking,2,0,2,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:59,2,50,5,0.1,fallen.log,Scoloporus.occidentalis,D,30,adult,female,8,15,shade,hiding,5,0,5,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,10:17,2,50,5,0.4,fallen.log,Scoloporus.occidentalis,E,31,adult,male,9,19,full.sun,basking,7,0,7,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,11:25,1,80,10,1,fallen.log,Scoloporus.occidentalis,F,32,adult,male,8.5,16.5,full.sun,basking,0,0,0,not on transect,,
captured,11-May-18,Intermediate,2,Partial ,sunny,11:45,1,80,10,1.5,fallen.log,Scoloporus.occidentalis,G,33,adult,female,8.5,15,full.sun,basking,0,0,0,not on transect,,
captured,11-May-18,Intermediate,2,Partial ,sunny,12:06,2,50,5,0.8,fallen.log,Scoloporus.occidentalis,H,34,adult,female,9.5,17,full.sun,basking,2,0,2,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,12:20,2,41,5,0.9,fallen.log,Scoloporus.occidentalis,I,35,adult,female,10,17,full.sun,basking,0,0,0,,,
captured,11-May-18,Intermediate,2,Partial ,sunny,16:54,2,50,5,1,fallen.log,Scoloporus.occidentalis,J,36,adult,male,9,14,full.sun,basking,8,0,8,large fallen oak,,
captured,11-May-18,Intermediate,2,Total,sunny,13:30,6,21,7,0.3,fallen.oak,Scoloporus.occidentalis,A,37,adult,male,10.5,20,full.sun,basking,5,0,0,,,
captured,11-May-18,Intermediate,2,Total,sunny,13:50,6,21,7,0.35,fallen.oak,Scoloporus.occidentalis,B,38,adult,female,8.75,12,shade,hiding,2,0,0,,,
captured,11-May-18,Intermediate,2,Total,sunny,14:38,,,,,fallen.oak,Scoloporus.occidentalis,C,39,adult,female,9,,full.sun,basking,0,0,0,not on transect- SW corner,,
captured,11-May-18,Intermediate,2,Total,sunny,15:01,1,-20,5,0.25,fallen.branch,Scoloporus.occidentalis,D,40,adult,male,9,14.5,full.sun,basking,0,0,0,not on transect,,
captured,11-May-18,Intermediate,2,Total,sunny,15:15,1,-23,5,0.4,fallen.branch,Scoloporus.occidentalis,E,41,adult,male,10.25,24,full.sun,basking,6,0,1,not on transect,,
captured,11-May-18,Intermediate,2,Total,sunny,15:25,1,-23,5,0.6,fallen.branch,Scoloporus.occidentalis,F,42,adult,female,9,13,full.sun,basking,0,0,0,not on transect,,
captured,11-May-18,Intermediate,2,Total,sunny,16:00,6,21,7,0.5,fallen.oak,Scoloporus.occidentalis,G,43,juvenille,male,7,6,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,2,Open,sunny,8:42,2,15,3,0.5,fallen.log,Scoloporus.occidentalis,A,44,adult,male,10.25,20,full.sun,basking,4,0,2,,,
captured,12-May-18,Intermediate,2,Open,sunny,9:02,2,15,3,1,fallen.log,Scoloporus.occidentalis,B,45,juvenille,female,6.5,1,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,2,Open,sunny,9:10,2,15,3,1.3,fallen.log,Scoloporus.occidentalis,C,46,adult,female,9.25,12,full.sun,basking,0,0,0,tail missing,,
captured,12-May-18,Intermediate,2,Open,sunny,10:07,6,10,5,0.3,oak,Scoloporus.occidentalis,D,47,adult,male,9,11.5,shade,resting,5,0,0,,,
captured,12-May-18,Intermediate,2,Open,sunny,10:50,2,15,0,2.7,oak,Scoloporus.occidentalis,E,48,adult,male,9,12,full.sun,interacting,3,0,0,oak near fallen log,,
captured,12-May-18,Intermediate,2,Open,sunny,11:45,2,15,0,0.2,oak,Scoloporus.occidentalis,F,49,juvenille,male,5,2.5,partial.shade,hiding,0,0,0,oak near fallen log,,
captured,12-May-18,Intermediate,1,Partial ,sunny,12:50,1,3,5,1,oak,Scoloporus.occidentalis,A,50,adult,male,11,NA,full.sun,basking,0,0,0,uphill of large half-stump,,
captured,12-May-18,Intermediate,1,Partial ,sunny,13:00,1,3,0,0.1,fallen.log,Scoloporus.occidentalis,B,51,adult,female,9.25,NA,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Partial ,sunny,13:30,1,2,3,0.3,fallen.log,Scoloporus.occidentalis,C,52,adult,male,10,27,full.sun,basking,0,0,0,wood downhill,,
captured,12-May-18,Intermediate,1,Partial ,sunny,14:40,1,0,3,0,fallen.log,Scoloporus.occidentalis,D,53,juvenille,female,5.5,4,full.sun,running,0,0,0,wood downhill,,
captured,12-May-18,Intermediate,1,Total,sunny,15:14,1,25,2,0.3,fallen.branch,Scoloporus.occidentalis,A,54,adult,male,9.95,15,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Total,sunny,15:30,1,25,2,0.1,fallen.branch,Scoloporus.occidentalis,B,55,adult,female,8,17,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Total,sunny,16:05,1,0,-20,0.2,fallen.branch,Scoloporus.occidentalis,C,56,adult,male,7.7,13,full.sun,basking,0,0,0,not on transect,,
captured,12-May-18,Intermediate,1,Total,sunny,16:22,1,0,-21,2.1,oak,Scoloporus.occidentalis,D,57,adult,male,9.5,22,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Total,sunny,16:35,1,-2,-21,0.2,fallen.branch,Scoloporus.occidentalis,E,58,adult,male,9,21.5,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Total,sunny,16:45,1,15,-20,3,oak,Scoloporus.occidentalis,F,59,adult,male,8.75,19,full.sun,basking,0,0,0,,,
captured,12-May-18,Intermediate,1,Total,sunny,17:18,2,-20,0,0.6,oak,Scoloporus.occidentalis,G,60,adult,male,8.5,19,partial.shade,watching ,0,0,0,,,
captured,13-May-18,Intermediate,1,Open,sunny,9:11,NA,NA,NA,0.1,fallen.oak,Scoloporus.occidentalis,A,61,adult,male,9,21.5,full.sun,push.ups,4,0,4,,,
captured,13-May-18,Intermediate,1,Open,sunny,9:34,NA,NA,NA,0.3,fallen.oak,Scoloporus.occidentalis,B,62,adult,male,9,16,full.sun,basking,1,0,1,,,
captured,13-May-18,Intermediate,1,Open,sunny,9:48,NA,NA,NA,0.5,fallen.oak,Scoloporus.occidentalis,C,63,adult,female,7.5,9,full.sun,basking,1,0,1,,,
captured,13-May-18,Intermediate,1,Open,sunny,10:00,NA,NA,NA,0.3,fallen.oak,Scoloporus.occidentalis,D,64,adult,male,8.75,17,full.sun,running,2,0,2,,,
captured,13-May-18,Intermediate,1,Open,sunny,10:30,NA,NA,NA,0.5,fallen.oak,Scoloporus.occidentalis,E,65,adult,male,8.25,16.5,full.sun,prey.capture,1,0,1,,,
captured,13-May-18,Intermediate,1,Open,sunny,10:52,NA,NA,NA,NA,fallen.oak,Scoloporus.occidentalis,F,66,adult,male,9.5,17,full.sun,basking,10,0,10,,,
captured,13-May-18,Intermediate,1,Open,sunny,11:13,NA,NA,NA,NA,fallen.oak,Scoloporus.occidentalis,G,67,adult,male,8.5,16,full.sun,watching,2,0,2,,,
captured,13-May-18,Intermediate,1,Open,sunny,11:29,NA,NA,NA,NA,fallen.oak,Scoloporus.occidentalis,H,68,juvenille,male,8,13.5,full.sun,basking,1,0,1,,,
captured,13-May-18,Intermediate,1,Open,sunny,11:46,NA,NA,NA,NA,fallen.oak,Scoloporus.occidentalis,I,69,adult,female,8.1,13.5,full.sun,prey.capture,3,0,3,,,
captured,13-May-18,Intermediate,1,Open,sunny,13:02,NA,NA,NA,NA,oak,Scoloporus.occidentalis,J,70,adult,male,9.5,19,full.sun,basking,0,0,0,,,
captured,13-May-18,Intermediate,1,Open,sunny,13:11,NA,NA,NA,3,oak,Scoloporus.occidentalis,K,71,adult,male,8.5,20.5,full.sun,push.ups,6,0,1,,,
captured,13-May-18,Intermediate,1,Open,sunny,15:28,NA,NA,NA,3.2,oak,Scoloporus.occidentalis,L,72,adult,male,9,22,shade,hiding,0,0,0,,,
captured,13-May-18,Intermediate,3,Partial ,sunny,14:02,3,10,2,0.5,fallen.branch,Scoloporus.occidentalis,A,73,adult,female,9,16,full.sun,basking,0,0,0,,,
captured,13-May-18,Intermediate,3,Partial ,sunny,14:11,3,10,2,0.6,fallen.branch,Scoloporus.occidentalis,B,74,adult,male,10,26,full.sun,watching,0,0,0,,,
captured,13-May-18,Intermediate,3,Partial ,sunny,15:14,2,30,0,0.75,fallen.log,Scoloporus.occidentalis,C,75,adult,male,9,24.5,full.sun,basking,0,0,0,,,
captured,13-May-18,Intermediate,3,Partial ,sunny,16:47,NA,NA,NA,2.5,oak,Scoloporus.occidentalis,D,76,adult,male,8,14.5,full.sun,basking,1,0,1,"not on transect- oak by stream, tick is nymph",,
captured,13-May-18,Intermediate,3,Partial ,sunny,17:24,1,5,1,1.2,fallen.log,Scoloporus.occidentalis,1,77,adult,male,9.5,19,shade,running,5,0,2,,,
captured,14-May-18,Intermediate,3,Total,sunny,7:48,2,7,3,0.5,fallen.branch,Scoloporus.occidentalis,A,78,adult,male,10,24,full.sun,basking,3,0,3,,,
captured,14-May-18,Intermediate,3,Total,sunny,8:40,2,2,3,0.3,fallen.branch,Scoloporus.occidentalis,B,79,adult,male,9.5,21,full.sun,basking,2,0,2,,,
captured,14-May-18,Intermediate,3,Total,sunny,9:15,2,4,2,1,fallen.branch,Scoloporus.occidentalis,C,80,adult,female,8,13.5,full.sun,running,1,0,1,,,
captured,14-May-18,Intermediate,3,Total,sunny,9:30,2,4,3,0.5,fallen.branch,Scoloporus.occidentalis,D,81,adult,female,8.5,14,shade,hiding,4,0,4,,,
captured,14-May-18,Intermediate,3,Total,sunny,9:51,2,1,0,2.5,oak,Scoloporus.occidentalis,E,82,adult,male,9.5,19.5,full.sun,basking,0,0,0,,,
captured,14-May-18,Intermediate,3,Total,sunny,10:10,1,6,3,0.4,fallen.branch,Scoloporus.occidentalis,F,83,adult,male,9.5,19.5,full.sun,push.ups,0,0,0,,,
captured,14-May-18,Intermediate,3,Total,sunny,10:51,2,49,6,3,oak,Scoloporus.occidentalis,G,84,adult,male,8.5,15.5,full.sun,basking,0,0,0,not on transect- oak by ditch,,
captured,15-May-18,Intermediate,3,Total,sunny,12:18,2,12,6,1.2,fallen.branch,Scoloporus.occidentalis,H,85,juvenille,male,5.5,3.5,full.sun,basking,0,0,0,,,
captured,15-May-18,Intermediate,3,Open,sunny,10:43,3,50,3,0.4,fallen.branch,Scoloporus.occidentalis,A,86,adult,female,7.75,NA,full.sun,basking,1,0,1,,,
captured,15-May-18,Intermediate,3,Open,sunny,11:20,6,50,2,0.5,fallen.branch,Scoloporus.occidentalis,B,87,adult,male,8,17,full.sun,basking,0,0,0,,,
captured,15-May-18,Intermediate,3,Open,sunny,11:46,,,,1.9,oak,Scoloporus.occidentalis,C,88,adult,male,8.5,18.5,full.sun,basking,0,0,0,not on transect,,
captured,15-May-18,Mesic,1,Partial ,sunny,14:29,1,60,3,2,fallen.oak,Scoloporus.occidentalis,A,89,adult,male,9.5,22,full.sun,mating,0,0,0,not on transect,,*too few lizards in mesic plots; not feasible to invest the time needed to capture more
captured,15-May-18,Mesic,1,Partial ,sunny,14:39,1,60,3,2,fallen.oak,Scoloporus.occidentalis,B,90,adult,female,9,17.5,full.sun,mating,2,0,2,not on transect,,
captured,22-Apr-18,Arid,2,Open,sunny,15:05,1,,,2.5,oak,Scoloporus.occidentalis,A,91,adult,male,9.5,19.4,partial.shade,running,0,0,0,used electric scale,,
captured,22-Apr-18,Arid,2,Open,sunny,15:05,1,50,15,0.5,fallen.log,Scoloporus.occidentalis,B,92,adult,female,8,10.4,full.sun,basking,0,0,0,used electric scale,,
captured,23-Apr-18,Arid,3,Open,sunny,13:15,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,A,93,adult,male,9.5,18.7,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,23-Apr-18,Arid,3,Open,sunny,13:30,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,B,94,adult,male,9.8,17.3,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,26-Apr-18,Arid,1,Open,sunny,8:20,,,,1.7,oak,Scoloporus.occidentalis,A,95,adult,male,8.3,15.5,full.sun,basking,0,0,0,not on transect- in plot,,
captured,26-Apr-18,Arid,1,Open,sunny,9:00,4,50,6,0.4,rock,Scoloporus.occidentalis,B,96,adult,male,10.1,20,full.sun,basking,0,2,2,ran to oak 3521,,
captured,26-Apr-18,Arid,1,Open,sunny,10:20,4,-5,0,0.3,rock,Scoloporus.occidentalis,C,97,adult,female,8.5,,full.sun,basking,0,0,0,not on transect- in plot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,