Year,Season,Month,Level,Block,Treatment_Year,Plot,Survey_Day,blue,blue_red,red,none,,,day,blue,blue_red,red,none,
2016,summer,July,Arid,1,0,Open,1,8,,,,,,1,8,,,,
2016,summer,July,Arid,1,0,Open,2,,3,9,,,,2,,3,9,,
2016,summer,July,Arid,1,0,Open,3,2,3,5,4,,,3,2,3,5,4,
2016,summer,July,Arid,1,0,Total,1,12,,,,,,,,,,,
2016,summer,July,Arid,1,0,Total,2,,6,8,,,,,day 1,day 2,day 3,,
2016,summer,July,Arid,1,0,Total,3,5,2,5,8,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,1,4,,,,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,2,,2,11,,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,3,2,1,6,2,,,,1,0,1,,
2016,summer,July,Arid,2,0,Open,1,6,,,,,,,1,0,1,,
2016,summer,July,Arid,2,0,Open,2,,2,4,,,,,1,0,0,,
2016,summer,July,Arid,2,0,Open,3,2,0,2,3,,,,1,0,0,,
2016,summer,July,Arid,2,0,Total,1,23,,,,,,,1,0,0,,
2016,summer,July,Arid,2,0,Total,2,,20,1,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Total,3,9,10,0,2,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,1,7,,,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,2,,5,16,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,3,4,3,11,0,,,,0,1,1,,
2016,summer,July,Arid,3,0,Open,1,14,,,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Open,2,,9,2,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Open,3,6,5,2,1,,,,0,1,0,,
2016,summer,July,Arid,3,0,Total,1,15,,,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Total,2,,6,4,,,,,0,0,1,,
2016,summer,July,Arid,3,0,Total,3,8,3,3,7,,,,0,0,1,,
2016,summer,July,Arid,3,0,Partial,1,6,,,,,,,0,0,1,,
2016,summer,July,Arid,3,0,Partial,2,,2,1,,,,,0,0,1,,
2016,summer,July,Arid,3,0,Partial,3,2,2,1,5,,,,,,,,
2016,early summer,July,Interm,1,0,Open,1,24,,,,,,,day,b,r,br,none
2016,early summer,July,Interm,1,0,Open,2,,19,14,,,,,1,1-0-0,NA,NA,NA
2016,early summer,July,Interm,1,0,Open,3,9,9,7,5,,,,2,NA,0-1-0,1--1-0,NA
2016,early summer,July,Interm,1,0,Total,1,25,,,,,,,3,1-0-1,0-1-1,1-1--1,0-0--1
2016,early summer,July,Interm,1,0,Total,2,,20,11,,,,,,,,,
2016,early summer,July,Interm,1,0,Total,3,12,9,9,12,,,,,,,,
2016,early summer,July,Interm,1,0,Partial,1,17,,,,,,,,,,,
2016,early summer,July,Interm,1,0,Partial,2,,13,23,,,,,,,,,
2016,early summer,July,Interm,1,0,Partial,3,6,6,15,18,,,,,,,,
2016,early summer,July,Interm,2,0,Open,1,11,,,,,,,,,,,
2016,early summer,July,Interm,2,0,Open,2,,8,7,,,,,,,,,
2016,early summer,July,Interm,2,0,Open,3,2,6,4,0,,,,,,,,
2016,early summer,July,Interm,2,0,Total,1,18,,,,,,,,,,,
2016,early summer,July,Interm,2,0,Total,2,,17,6,,,,,,,,,
2016,early summer,July,Interm,2,0,Total,3,3,10,4,1,,,,,,,,
2016,early summer,July,Interm,2,0,Partial,1,10,,,,,,,,,,,
2016,early summer,July,Interm,2,0,Partial,2,,7,4,,,,,,,,,
2016,early summer,July,Interm,2,0,Partial,3,1,6,4,1,,,,,,,,
2016,early summer,July,Interm,3,0,Open,1,53,,,,,,,,,,,
2016,early summer,July,Interm,3,0,Open,2,,44,24,,,,,,,,,
2016,early summer,July,Interm,3,0,Open,3,19,20,19,16,,,,,,,,
2016,early summer,July,Interm,3,0,Total,1,31,,,,,,,,,,,
2016,early summer,July,Interm,3,0,Total,2,,24,19,,,,,,,,,
2016,early summer,July,Interm,3,0,Total,3,12,14,15,7,,,,,,,,
2016,early summer,July,Interm,3,0,Partial,1,23,,,,,,,,,,,
2016,early summer,July,Interm,3,0,Partial,2,,13,11,,,,,,,,,
2016,early summer,July,Interm,3,0,Partial,3,6,7,7,4,,,,,,,,
2016,early summer,July,Mesic,1,0,Open,1,5,,,,,,,,,,,
2016,early summer,July,Mesic,1,0,Open,2,,1,2,,,,,,,,,
2016,early summer,July,Mesic,1,0,Open,3,3,1,0,0,,,,,,,,
2016,early summer,July,Mesic,1,0,Total,1,1,,,,,did not count mesic since there's only one day of observation and that won't work,,,,,,
2016,early summer,July,Mesic,1,0,Total,2,NA,NA,NA,,,** sometimes the 3rd day blue didn't add up where there weren't that many 1-0s left over so I just filled as many as left,,,,,,
2016,early summer,July,Mesic,1,0,Total,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,1,0,Partial,1,2,,,,,,,,,,,
2016,early summer,July,Mesic,1,0,Partial,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,1,0,Partial,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,2,0,Open,1,2,,,,,,,,,,,
2016,early summer,July,Mesic,2,0,Open,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,2,0,Open,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,2,0,Total,1,0,,,,,,,,,,,
2016,early summer,July,Mesic,2,0,Total,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,2,0,Total,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,2,0,Partial,1,1,,,,,,,,,,,
2016,early summer,July,Mesic,2,0,Partial,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,2,0,Partial,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,3,0,Open,1,0,,,,,,,,,,,
2016,early summer,July,Mesic,3,0,Open,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,3,0,Open,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,3,0,Total,1,0,,,,,,,,,,,
2016,early summer,July,Mesic,3,0,Total,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,3,0,Total,3,NA,NA,NA,NA,,,,,,,,
2016,early summer,July,Mesic,3,0,Partial,1,0,,,,,,,,,,,
2016,early summer,July,Mesic,3,0,Partial,2,NA,NA,NA,,,,,,,,,
2016,early summer,July,Mesic,3,0,Partial,3,NA,NA,NA,NA,,,,,,,,